name,careers,date_of_birthday,languages,genres
Александр Сергеевич Пушкин,"Поэт,Прозаик,Драматург,Литературный критик,Переводчик,Публицист,История",26 мая (6 июня) 1799,"Русский язык,Французский язык","Поэма,Роман,Исторический роман,Роман в стихах,Разбойничий роман,Пьеса,Повесть,Сказка"
Александр Сергеевич Пушкин,"Поэт,Прозаик,Драматург,Литературный критик,Переводчик,Публицист,История",26 мая (6 июня) 1799,"Русский язык,Французский язык","Поэма,Роман,Исторический роман,Роман в стихах,Разбойничий роман,Пьеса,Повесть,Сказка"
Михаил Юрьевич Лермонтов,"Поэт,Прозаик,Художник,Драматург",3 (15) октября 1814,,"Стихотворение,Поэма"
